;Тип товара;Полное наименование;МНН;Лекарственная форма;Бренд;Фирма_производитель;Корпорация;Фармакотерапевтическая группа;АТС1;АТС2;АТС3;АТС4;АТС5;Ephmra1;Ephmra2;Ephmra3;Ephmra4;Год;Месяц;Объем1;Объем2;Объем3;Цена;Свыше_1500;размер_500до1500;до_500
92;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2018;9;20734207.6;15701.0;18522074.8;1179.6748487357493;недостаток;входит;избыток
93;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2019;5;20079230.6;8603.0;17153200.8;1993.862699058468;входит;избыток;избыток
117;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2020;2;8924069.529472595;5253.82421875;8209261.022750775;1562.5305836181817;входит;избыток;избыток
140;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 40 МГ/МЛ 1 МЛ №6;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2022;5;17147594.0;18186.0;15394798.4;846.5192125811063;недостаток;входит;избыток
141;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 40 МГ/МЛ 1 МЛ №6;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2023;1;39257678.0;12726.0;39257678.0;3084.840326889832;входит;избыток;избыток
143;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 40 МГ/МЛ 1 МЛ №6;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2023;6;8924069.529472595;5253.82421875;8209261.022750775;1562.5305836181817;входит;избыток;избыток
153;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2019;6;7600635.8;7381.0;6731408.6;911.9914103779976;недостаток;входит;избыток
160;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2019;3;16709755.0;1270.0;16709755.0;13157.287401574804;избыток;избыток;избыток
211;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2018;7;46824769.0;6472.0;41963236.2;6483.812762669963;избыток;избыток;избыток
212;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2018;11;22244493.0;3075.0;22244493.0;7233.981463414634;избыток;избыток;избыток
213;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ТИМЕКСОН РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ТИМЕКСОН;БИОКАД АО;БИОКАД АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ НЕРВНОЙ СИСТЕМЫ (N);ПРОЧИЕ ПРЕПАРАТЫ ПРИМЕНЯЕМЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ЦНС (N07);СРЕДСТВА ПРОТИВ РАССЕЯННОГО СКЛЕРОЗА (N07A);;2019;3;8924069.529472595;5253.82421875;8209261.022750775;1562.5305836181817;входит;избыток;избыток
